election_id,candidate_id,candidate_name,affiliation_id,affiliation_party,overview
al.congress.1819,CJ0004,John Crowell,A03,Democratic-Republican,8181
al.congress.1819,CH0000,Henry Chambers,A03,Democratic-Republican,7203
al.congress.1819,NA,Ringold,NA,NA,NA
al.congress.1821,MG0000,Gabriel Moore,A03,Democratic-Republican,10996
al.congress.1821,OG0000,George W. Owen,A03,Democratic-Republican,5548
al.congress.1821,DS0001,Silas Dinsmoor,NA,NA,484
al.congress.1821,ME0002,Elizah Montgomery,NA,NA,1
al.uscongress.1.1823,MG0000,Gabriel Moore,A08,Jacksonian,NA
al.uscongress.2.1823,MJ0013,John MacKee,A08,Jacksonian,2135
al.uscongress.2.1823,FT0000,Thomas Farrar,NA,NA,1869
al.uscongress.2.1823,GJ0004,Jesse W. Garth,NA,NA,1694
al.uscongress.2.1823,WM0000,Marmaduke Williams,NA,NA,1646
al.uscongress.2.1823,PS0000,Sion L. Perry,NA,NA,686
al.uscongress.2.1823,FJ0001,John S. Fulton,NA,NA,603
al.uscongress.3.1823,OG0000,George W. Owen,A08,Jacksonian,NA
al.uscongress.3.1823,BA0000,Arthur P. Bagby,A07,Adams/Clay,NA
al.uscongress.3.1823,DS0001,Silas Dinsmoor,NA,NA,NA
al.uscongress.1.1825,MG0000,Gabriel Moore,A08,Jacksonian,5098
al.uscongress.1.1825,CC0000,Clement C. Clay,NA,NA,2070
al.uscongress.2.1825,MJ0013,John MacKee,A08,Jacksonian,4284
al.uscongress.2.1825,BR0001,Robert E. B. Baylor,NA,NA,4108
al.uscongress.2.1825,TJ0003,John D. Terrill,NA,NA,2079
al.uscongress.3.1825,OG0000,George W. Owen,A08,Jacksonian,NA
ct.congress.1790,SR0003,Roger Sherman,NA,NA,2969
ct.congress.1790,EP0001,Pierpont Edwards,NA,NA,2239
ct.congress.1790,HJ0008,James Hillhouse,A01,Federalist,2035
ct.congress.1790,SJ0011,Jonathan Sturges,NA,NA,1730
ct.congress.1790,TJ0010,Jonathan Trumbull,A01,Federalist,1720
ct.congress.1790,RT0001,Tapping Reeve,A01,Federalist,1672
ct.congress.1790,WJ0011,Jeremiah Wadsworth,NA,NA,1658
ct.congress.1790,LA0001,Amasa Learned,NA,NA,1463
ct.congress.1790,MS0000,Stephen M. Mitchell,NA,NA,1435
ct.congress.1790,HB0005,Benjamin Huntington,NA,NA,1372
ct.congress.1790,CJ0014,John Chester,NA,NA,811
ct.congress.1790,DJ0006,James Davenport,NA,NA,786
ct.congress.1792,TJ0010,Jonathan Trumbull,A01,Federalist,3333
ct.congress.1792,HJ0008,James Hillhouse,A01,Federalist,3054
ct.congress.1792,SJ0011,Jonathan Sturgis,NA,NA,2685
ct.congress.1792,HB0005,Benjamin Huntington,NA,NA,2476
ct.congress.1792,WJ0011,Jeremiah Wadsworth,NA,NA,2426
ct.congress.1792,LA0001,Amasa Learned,NA,NA,2217
ct.congress.1792,MS0000,Stephen Mix Mitchell,NA,NA,1827
ct.congress.1792,TU0002,Uriah Tracey,NA,NA,1476
ct.congress.1792,IJ0003,Jonathan Ingersoll,NA,NA,1258
ct.congress.1792,MA0000,Asher Miller,NA,NA,998
ct.congress.1792,SZ0000,Zephaniah Swift,A01,Federalist,997
ct.congress.1792,RT0001,Tapping Reeve,A01,Federalist,698
ct.congress.1794,TJ0010,Jonathan Trumbull,A01,Federalist,3575
ct.congress.1794,TU0002,Uriah Tracey,A01,Federalist,3414
ct.congress.1794,HJ0008,James Hillhouse,A01,Federalist,3382
ct.congress.1794,CJ0025,Joshua Coit,A01,Federalist,2948
ct.congress.1794,GR0000,Roger Griswold,A01,Federalist,2778
ct.congress.1794,SZ0000,Zephaniah Swift,A01,Federalist,2667
ct.congress.1794,GC0000,Chauncey Goodrich,A01,Federalist,1825
ct.congress.1794,SN0000,Nathaniel Smith,A01,Federalist,1556
ct.congress.1794,DJ0006,James Davenport,A01,Federalist,1386
